City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
93,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
95,Karratha,AU,84.87,broken clouds,-20.7377,116.8463,ibis Styles Karratha
96,San Quintin,MX,75.22,clear sky,30.4833,-115.95,Don Eddie's Landing
100,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
105,Caravelas,BR,76.68,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
106,Ancud,CL,78.22,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
120,Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
122,Atuona,PF,77.97,light rain,-9.8,-139.0333,Villa Enata
123,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
126,Linhares,BR,75.4,scattered clouds,-19.3911,-40.0722,Hotel Conceição
127,Sarh,TD,81.9,overcast clouds,9.1429,18.3923,Domicile 1sur le goudron
137,Kavaratti,IN,80.2,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
138,Manggar,ID,77.05,overcast clouds,-2.8833,108.2667,Guest Hotel
143,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
149,Rawson,AR,85.33,clear sky,-43.3002,-65.1023,Hosteria Sampedro
151,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
154,San Policarpo,PH,78.64,overcast clouds,12.1791,125.5072,Agapita M. Nicart
157,Black River,JM,82.98,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
160,Barahona,DO,84.02,few clouds,18.2085,-71.1008,Hotel Caribe
163,Saysain,PH,78.17,broken clouds,14.5611,120.3925,Sky Home
164,Richards Bay,ZA,75.87,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
165,Dondo,MZ,78.31,few clouds,-19.6094,34.7431,Arco Iris
167,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
169,Tutoia,BR,80.58,clear sky,-2.7619,-42.2744,Pousada Guará's
170,Benguela,AO,76.33,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
176,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Poutur Pousada
180,Oriximina,BR,79.86,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
181,Kudahuvadhoo,MV,80.85,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
183,Labuan,MY,78.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
193,Quatre Cocos,MU,81.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
195,Zemio,CF,78.64,overcast clouds,5.0314,25.1361,OCHA Office
201,Kahului,US,78.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
206,Isangel,VU,84.31,volcanic ash,-19.55,169.2667,Tanna Lodge
210,Balabac,PH,80.17,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
214,Padang,ID,76.19,overcast clouds,-0.9492,100.3543,Mercure Padang
216,Lakatoro,VU,83.12,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
