City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Airai,TL,2022-02-12 23:57:30,-8.9266,125.4092,66.47,80,76,3.0
232,Malakal,SS,2022-02-12 23:57:30,9.5334,31.6605,78.75,23,28,7.96
233,Souillac,MU,2022-02-12 23:57:31,-20.5167,57.5167,77.38,94,75,3.44
234,Denpasar,ID,2022-02-12 23:57:31,-8.65,115.2167,80.26,83,20,9.22
235,Tateyama,JP,2022-02-12 23:57:31,34.9833,139.8667,48.47,68,81,4.05
236,Bozoum,CF,2022-02-12 23:57:32,6.3193,16.3799,69.89,22,46,3.51
237,Djibo,BF,2022-02-12 23:57:32,14.1022,-1.6306,72.64,11,3,8.9
238,Sinjar,IQ,2022-02-12 23:57:33,36.3209,41.8754,46.71,42,0,4.81
239,Aquiraz,BR,2022-02-12 23:57:33,-3.9014,-38.3911,83.17,83,71,6.73
240,Waingapu,ID,2022-02-12 23:57:33,-9.6567,120.2641,80.73,75,100,1.43
241,Harper,LR,2022-02-12 23:57:34,4.375,-7.7169,78.57,86,29,6.55
242,Touros,BR,2022-02-12 23:57:34,-5.1989,-35.4608,83.3,79,34,9.1
243,Hofn,IS,2022-02-12 23:57:34,64.2539,-15.2082,23.27,68,97,17.52
244,Manjacaze,MZ,2022-02-12 23:57:35,-24.7117,33.8828,68.22,90,1,2.35
245,Sao Felix Do Xingu,BR,2022-02-12 23:57:35,-6.6447,-51.995,70.11,99,99,1.54
246,Maldonado,UY,2022-02-12 23:57:35,-34.6667,-54.9167,63.79,88,100,15.08
247,Mitsamiouli,KM,2022-02-12 23:57:36,-11.3847,43.2844,80.02,78,78,8.39
248,Praia,CV,2022-02-12 23:53:25,14.9215,-23.5087,73.94,64,100,18.41
249,Road Town,VG,2022-02-12 23:57:36,18.4167,-64.6167,75.24,88,75,6.91
250,Valer,NO,2022-02-12 23:57:36,60.6785,11.8331,37.85,97,100,12.75
251,Okhotsk,RU,2022-02-12 23:57:37,59.3833,143.3,-10.17,78,7,10.51
252,Zhanakorgan,KZ,2022-02-12 23:57:37,43.9098,67.2495,29.32,78,82,6.85
253,Tucuman,AR,2022-02-12 23:56:32,-26.8241,-65.2226,68.0,83,20,4.61
254,Kloulklubed,PW,2022-02-12 23:57:37,7.0419,134.2556,82.9,77,81,19.51
255,Brae,GB,2022-02-12 23:57:38,60.3964,-1.353,44.51,89,99,22.12
256,Taoudenni,ML,2022-02-12 23:57:38,22.6783,-3.9836,62.83,22,0,10.8
257,Khasan,RU,2022-02-12 23:57:38,42.4308,130.6434,19.9,49,91,9.42
258,Klichka,RU,2022-02-12 23:57:38,50.4457,117.996,-19.55,100,99,1.74
259,Joshimath,IN,2022-02-12 23:57:39,30.5667,79.5667,36.88,35,0,8.99
260,Bethel,US,2022-02-12 23:57:39,41.3712,-73.414,50.02,58,99,1.01
261,General Roca,AR,2022-02-12 23:57:39,-39.0333,-67.5833,82.8,13,77,9.46
262,San Cristobal,VE,2022-02-12 23:54:37,7.7669,-72.225,73.58,62,91,2.21
263,Eravur,LK,2022-02-12 23:57:39,7.7733,81.6095,74.26,93,100,2.04
264,Castro,BR,2022-02-12 23:57:40,-24.7911,-50.0119,63.91,69,32,6.42
265,Coyah,GN,2022-02-12 23:57:40,9.75,-13.4167,79.75,86,6,3.13
266,Paamiut,GL,2022-02-12 23:54:25,61.994,-49.6678,18.77,91,100,2.64
267,Meulaboh,ID,2022-02-12 23:56:55,4.1363,96.1285,76.51,86,99,4.56
268,Kuznetsk,RU,2022-02-12 23:57:40,53.1167,46.6004,20.03,96,99,7.2
269,Krutinka,RU,2022-02-12 23:57:40,56.0055,71.5113,2.14,96,100,3.62
270,Teya,RU,2022-02-12 23:57:41,60.3778,92.6267,-17.86,99,35,2.26
271,Karasjok,NO,2022-02-12 23:57:41,69.4719,25.5112,6.91,98,10,3.47
272,Jaumave,MX,2022-02-12 23:58:41,23.4167,-99.3833,65.48,82,42,6.33
273,Mazagao,BR,2022-02-12 23:58:42,-0.115,-51.2894,82.45,89,68,4.38
274,Bismarck,US,2022-02-12 23:53:52,46.8083,-100.7837,15.87,78,40,17.27
275,Oranjestad,AW,2022-02-12 23:58:42,12.524,-70.027,80.55,69,20,20.71
276,Falmouth,GB,2022-02-12 23:56:44,50.1544,-5.0711,50.9,91,100,24.34
277,Norman Wells,CA,2022-02-12 23:58:42,65.282,-126.8329,-14.76,76,75,3.44
278,Saint-Augustin,CA,2022-02-12 23:58:43,51.226,-58.6502,32.83,98,100,12.5
279,Mut,TR,2022-02-12 23:58:43,36.6439,33.4389,43.29,53,80,3.74
280,Fairbanks,US,2022-02-12 23:56:41,64.8378,-147.7164,5.81,73,100,0.0
281,Half Moon Bay,US,2022-02-12 23:56:56,37.4636,-122.4286,83.19,43,0,5.75
282,Cairns,AU,2022-02-12 23:55:14,-16.9167,145.7667,85.06,61,40,11.5
283,Vila Franca Do Campo,PT,2022-02-12 23:58:44,37.7167,-25.4333,63.19,89,100,10.13
284,Igrim,RU,2022-02-12 23:58:44,63.1906,64.4162,-6.68,100,94,4.5
285,Laguna,US,2022-02-12 23:58:44,38.421,-121.4238,79.3,41,0,3.0
286,Chiredzi,ZW,2022-02-12 23:58:45,-21.05,31.6667,67.53,71,4,6.89
287,Newcastle,AU,2022-02-12 23:58:45,-32.9272,151.7765,73.09,75,100,6.91
288,Geraldton,AU,2022-02-12 23:58:45,-28.7667,114.6,68.41,77,1,9.22
289,Kodiak,US,2022-02-12 23:55:29,57.79,-152.4072,37.35,83,93,1.97
290,Tamandare,BR,2022-02-12 23:58:46,-8.7597,-35.1047,79.72,82,30,10.16
291,Rio Gallegos,AR,2022-02-12 23:58:46,-51.6226,-69.2181,64.45,32,0,23.02
